CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
52585,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.639483,0.865338,-77.637638,0.877608,1479.69,4312.74,3353.35,5648.07,9350.29,9756.3,665000,70,Vía Municipal,0
801,5393,139,465,35,4,35,Primer Orden,-77.699805,0.878276,-77.676515,0.842026,4414.87,11199.12,8795.65,15230.46,26497.76,27665.4,7610,71,Primer Orden,316
4502,1913,72,484,100,29,58,Primer Orden,-76.574485,0.789134,-76.578123,0.880706,9366.83,23760.65,18661.33,32313.76,56219.08,58696.4,4452,72,Primer Orden,891
52022,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.701559,0.881637,-77.699805,0.878276,352.15,946.22,760.53,1299.12,2116.61,2207.61,665000,73,Vía Municipal,0
18785,50000,30000,30000,30000,30000,30000,Vía Municipal,-75.619688,0.883429,-75.619191,0.871709,1006.89,2934.73,2281.89,3843.39,6362.67,6638.96,665000,74,Vía Municipal,0
8851,47,12,41,2,0,0,Departamental,-75.619748,0.885202,-75.619688,0.883429,164.68,492.19,365.58,661.51,1236.04,1299.5,220,75,Departamental,0
52573,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.504428,0.889151,-77.502948,0.876578,1116.49,3254.15,2530.25,4261.71,7055.2,7361.55,665000,76,Vía Municipal,0
52573,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.505781,0.892092,-77.504428,0.889151,278.83,812.68,631.89,1064.3,1761.93,1838.44,665000,77,Vía Municipal,0
52573,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.509711,0.892315,-77.504428,0.889151,568.86,1658.03,1289.2,2171.4,3594.72,3750.81,665000,78,Vía Municipal,0
25NR01-1,58,21,6,1,0,0,Departamental,-77.570943,0.810477,-77.545058,0.892933,10772.14,32194.94,23913.35,43270.8,80851.81,85002.73,154,79,Departamental,0
2501,7748,690,1076,177,122,399,Primer Orden,-77.607041,0.828487,-77.547199,0.893981,8994.93,22728.56,17938.16,30965.29,54900.07,57536.51,16704,80,Primer Orden,422
25NR12,19,10,4,1,0,0,Departamental,-77.547199,0.893981,-77.545058,0.892933,365.1,1091.17,810.48,1466.56,2740.27,2880.96,70,81,Departamental,0
45PT23,200,50,100,50,50,25,Departamental,-76.600215,0.894345,-76.578123,0.880706,2645.46,8095.81,5958.52,10093.61,18209.35,19086.18,1250,82,Departamental,0
